region,parent,family,mark
ENTm2a,ENT,HPF,bottom
ENTm2b,ENT,HPF,bottom
ENTm3,ENT,HPF,bottom
ENTm4,ENT,HPF,bottom
ENTm5,ENT,HPF,bottom
ENTm5/6,ENT,HPF,bottom
ENTm6,ENT,HPF,bottom
ENTmv,ENT,HPF,bottom
ENTmv1,ENT,HPF,bottom
ENTmv2,ENT,HPF,bottom
ENTmv3,ENT,HPF,bottom
ENTmv4,ENT,HPF,bottom
ENTmv5/6,ENT,HPF,bottom
PAR,PAR,HPF,bottom
PAR1,PAR,HPF,bottom
PAR2,PAR,HPF,bottom
PAR3,PAR,HPF,bottom
POST,POST,HPF,bottom
POST1,POST,HPF,bottom
POST2,POST,HPF,bottom
POST3,POST,HPF,bottom
PRE,PRE,HPF,bottom
PRE1,PRE,HPF,bottom
PRE2,PRE,HPF,bottom
PRE3,PRE,HPF,bottom
SUB,SUB,HPF,bottom
SUBd,SUB,HPF,bottom
SUBd-m,SUB,HPF,bottom
SUBd-sp,SUB,HPF,bottom
SUBd-sr,SUB,HPF,bottom
SUBv,SUB,HPF,bottom
SUBv-m,SUB,HPF,bottom
SUBv-sp,SUB,HPF,bottom
SUBv-sr,SUB,HPF,bottom
ProS,HPF,HPF,upper
ProSd,HPF,HPF,upper
ProSd-m,HPF,HPF,upper
ProSd-sp,HPF,HPF,upper
ProSd-sr,HPF,HPF,upper
ProSv,HPF,HPF,upper
ProSv-m,HPF,HPF,upper
ProSv-sp,HPF,HPF,upper
Prosv-sr,HPF,HPF,upper
HATA,HPF,HPF,upper
APr,HPF,HPF,upper
CTXsp,CTXsp,CTXsp,upper
6b,6b,CTXsp,bottom
CLA,CLA,CTXsp,bottom
EP,EP,CTXsp,bottom
EPd,EP,CTXsp,bottom
EPv,EP,CTXsp,bottom
LA,LA,CTXsp,bottom
BLA,BLA,CTXsp,bottom
BLAa,BLA,CTXsp,bottom
BLAp,BLA,CTXsp,bottom
BLAv,BLA,CTXsp,bottom
BMA,BMA,CTXsp,bottom
BMAa,BMA,CTXsp,bottom
BMAp,BMA,CTXsp,bottom
PA,PA,CTXsp,bottom
CNU,root,root,excluded
STR,STR,STR,upper
STRd,STR,STR,upper
CP,CP,STR,bottom
STRv,STR,STR,upper
ACB,ACB,STR,bottom
FS,FS,STR,bottom
OT,OT,STR,bottom
isl,OT,STR,bottom
islm,OT,STR,bottom
